planet_name,host_name,number_stars,number_planets,discovery_method,discovery_year,discovery_facility,orbital_period,semimajor_axis,planet_radius,planet_mass_E,planet_mass_J,planet_eccentricity,planet_eq_temp,star_spectype,star_teff,star_radius,star_mass,star_age,system_distance,system_vmag,system_gaiamag
Kepler-146 c,Kepler-146,1,2,Transit,2014,Kepler,76.732171,0.364,3.13,9.96,0.0313,0,473,,5948,1.208,1.079,0.91,716.797,13.921,13.8031
Kepler-260 c,Kepler-260,1,2,Transit,2014,Kepler,76.050178,0.332,1.74,3.68,0.0116,0,372,,5250,0.862,1.013,1.15,627.365,14.253,14.1176
Kepler-297 c,Kepler-297,1,3,Transit,2014,Kepler,74.920137,0.336,6.54,42.1,0.132,0,409,,5619,0.915,0.927,1.9,692.14,14.326,14.1922
Kepler-368 c,Kepler-368,1,2,Transit,2014,Kepler,72.379334,0.36,3.88,14.3,0.0451,0,575,,5502,2.019,1.165,6.46,770.978,12.946,12.838
Kepler-419 b,Kepler-419,1,2,Transit,2014,Kepler,69.7546,0.37,10.8,794.5,2.5,0.833,613,,6430,1.74,1.39,2.14,1011.36,13.089,12.9642
Kepler-409 b,Kepler-409,1,1,Transit,2014,Kepler,68.9583216,0.3192,1.199,6,0.01887811,0.69,438,,5421,0.897,0.913,5.8,68.173,9.636,9.39109
Kepler-215 e,Kepler-215,1,4,Transit,2014,Kepler,68.16101,0.314,1.75,3.71,0.0117,0,405,,5739,1.027,0.788,1.62,485.997,13.678,13.5549
Kepler-371 c,Kepler-371,1,2,Transit,2014,Kepler,67.968015,0.313,1.78,3.82,0.012,0,443,,5666,0.992,0.876,12.88,813.192,13.997,13.7984
Kepler-335 c,Kepler-335,1,2,Transit,2014,Kepler,67.844469,0.356,3.07,9.64,0.0303,0,592,,5877,1.854,1.367,3.09,1278.97,14.111,13.9603
Kepler-265 e,Kepler-265,1,4,Transit,2014,Kepler,67.831024,0.319,2.59,7.22,0.0227,0,476,,5835,1.103,0.97,0.28,1280.25,15.47,15.3522
Kepler-199 c,Kepler-199,1,2,Transit,2014,Kepler,67.093408,0.316,3.25,10.6,0.0334,0,420,,5644,0.967,0.96,1.45,521.054,13.796,13.5973
Kepler-413 b,Kepler-413,2,1,Transit,2014,Kepler,66.262,0.3553,4.347,67,0.211,0.1181,,,4700,0.7761,0.82,,847.536,15.885,15.5943
Kepler-289 d,Kepler-289,1,4,Transit,2014,Kepler,66.0282,0.33,3.03,5.33,0.01677006,,,,5990,1,1.08,0.65,704.438,14.142,13.9628
Kepler-296 f,Kepler-296,2,5,Transit,2014,Kepler,63.33627,0.255,1.8,3.89,0.0123,0.33,274,M2 V,3740,0.48,0.498,4.2,167,16.363,15.9015
Kepler-379 c,Kepler-379,1,2,Transit,2014,Kepler,62.784697,0.326,2.29,5.86,0.0184,0,530,,6054,1.306,1.125,2.24,731.274,13.475,13.3686
Kepler-154 c,Kepler-154,1,5,Transit,2014,Kepler,62.303276,0.303,2.95,9.01,0.0283,0,454,,5690,1.001,0.933,8.91,915.212,14.646,14.5121
Kepler-233 c,Kepler-233,1,2,Transit,2014,Kepler,60.418955,0.287,2.71,7.8,0.0245,0,390,,5360,0.758,0.855,0.6,856.417,15.477,15.3263
Kepler-364 c,Kepler-364,1,2,Transit,2014,Kepler,59.980627,0.312,2.15,5.27,0.0166,0,568,,6108,1.284,1.076,0.63,891.462,13.754,13.6134
Kepler-399 d,Kepler-399,1,3,Transit,2014,Kepler,58.034616,0.261,1.89,4.23,0.0133,0,486,,5502,0.68,0.902,3.98,740.537,14.686,14.5277
Kepler-359 c,Kepler-359,1,3,Transit,2014,Kepler,57.68802,0.307,4.3,2.9,0.00912437,0,512,,6248,1.086,0.827,3.02,1443.21,15.805,15.8814
GJ 682 c,GJ 682,1,2,Radial Velocity,2014,Multiple Observatories,57.32,0.176,2.89,8.7,0.02737312,0.1,,M3.5 V,3028,0.298255,0.27,,5.00671,10.94,9.57025
Kepler-351 c,Kepler-351,1,3,Transit,2014,Kepler,57.24809,0.287,3.19,11.1,0.035,0,431,,5643,0.854,0.81,2.9,1083.91,16.229,15.9665
Kepler-288 d,Kepler-288,1,3,Transit,2014,Kepler,56.633742,0.287,2.67,7.61,0.0239,0,570,,5918,1.091,0.842,12.3,1194.15,15.283,15.152
Kepler-310 c,Kepler-310,1,3,Transit,2014,Kepler,56.47542,0.281,3.38,11.4,0.0357,0,417,,5797,0.876,0.854,1.9,602.268,14.376,14.265
Kepler-122 f,Kepler-122,1,5,Transit Timing Variations,2014,Kepler,56.268,0.28575,1.75,36,0.113,0,543,,5917,0.949,1.03,7.94,1027.45,14.403,14.2223
Kepler-239 c,Kepler-239,1,2,Transit,2014,Kepler,56.228098,0.268,2.51,6.85,0.0215,0,366,,4914,0.763,0.757,3.31,648.109,15.252,15.2333
Kepler-149 c,Kepler-149,1,3,Transit,2014,Kepler,55.328328,0.281,1.61,3.22,0.0101,0,436,,5381,0.953,1.013,14,571.034,14.152,14.0194
Kepler-361 c,Kepler-361,1,2,Transit,2014,Kepler,55.188023,0.3,2.52,6.9,0.0217,0,568,,6169,1.343,1.191,3.89,930.32,13.635,13.5447
Kepler-227 c,Kepler-227,1,2,Transit,2014,Kepler,54.418694,0.29,3.04,9.48,0.0298,0,443,,5854,1.091,0.954,3.98,1083.06,15.623,15.3234
Kepler-403 c,Kepler-403,1,3,Transit,2014,Kepler,54.280749,0.297,1.75,3.71,0.0117,0,604,,6090,1.329,1.299,3.09,840.269,12.818,12.7598
Kepler-293 c,Kepler-293,1,2,Transit,2014,Kepler,54.155743,0.286,3.83,14,0.0442,0,466,,5804,0.957,0.934,1.32,974.633,15.452,15.3334
Kepler-367 c,Kepler-367,1,2,Transit,2014,Kepler,53.578637,0.253,1.2,1.87,0.00588,0,357,,4710,0.695,0.768,2.29,188.027,13.193,12.8482
Kepler-194 d,Kepler-194,1,3,Transit,2014,Kepler,52.814973,0.275,2.4,6.35,0.02,0,562,,6089,1.025,0.94,2.5,1097.97,14.969,14.9117
Kepler-155 c,Kepler-155,1,2,Transit,2014,Kepler,52.661793,0.242,2.24,5.65,0.0178,0,286,M0 V,4508,0.62,0.635,2.9,293.499,14.654,14.24
Kepler-79 d,Kepler-79,1,4,Transit,2014,Kepler,52.0902,0.287,7.16,6,0.019,0.025,592,,6174,1.302,1.165,3.44,1020.72,14.036,13.8825
Kepler-324 c,Kepler-324,1,4,Transit,2014,Kepler,51.805612,0.26,3.15,6.2,0.01950738,0,410,,5194,0.84,0.901,3.39,501.574,14.222,14.0909
Kepler-104 d,Kepler-104,2,3,Transit,2014,Kepler,51.755394,0.257,3.58,5.54022107,0.01743092,0,515,,5711,1.349,0.818,13.18,400.785,12.697,12.5697
Kepler-37 e,Kepler-37,1,4,Transit Timing Variations,2014,Kepler,51.196,0.25,0.37,8.1,0.02548545,0,401,,5288,0.772,0.8,10,63.9207,9.770001,9.54988
Kepler-278 c,Kepler-278,1,2,Transit,2014,Kepler,51.078775,0.294,3.59,12.6,0.0396,0.51,702,,4991,2.935,1.414,3.72,443.03,11.811,11.5296
Kepler-117 c,Kepler-117,1,2,Transit,2014,Kepler,50.790391,0.2804,12.341,584.78,1.84,0.0323,704,F8 V,6150,1.606,1.129,5.3,1455.57,14.282,14.2472
Kepler-193 c,Kepler-193,1,2,Transit,2014,Kepler,50.697494,0.286,2.75,8,0.0252,0,595,,6335,1.147,1.051,0.3,1009.1,14.712,14.596
Kepler-198 c,Kepler-198,1,3,Transit,2014,Kepler,49.567416,0.259,2.47,6.66,0.021,0,465,,5574,0.94,0.995,0.51,495.358,13.684,13.5662
Kepler-357 d,Kepler-357,1,3,Transit,2014,Kepler,49.499875,0.246,3.43,11.6,0.0366,0,402,,5036,0.834,0.794,2.14,688.573,15.735,15.5215
Kepler-108 b,Kepler-108,2,2,Transit,2014,Kepler,49.183921,0.292,8.65,56,0.176,0.22,669,,5854,2.192,1.247,3.89,338.732,12.657,13.0843
Kepler-127 d,Kepler-127,1,3,Transit,2014,Kepler,48.630408,0.28,2.64,7.46,0.0235,0.03,590,,6106,1.359,1.248,2.69,352.794,11.746,11.4381
Kepler-219 d,Kepler-219,1,3,Transit,2014,Kepler,47.903645,0.272,2.81,19.1,0.06,0,598,,5786,1.491,1.164,4,787.07,13.823,13.7179
Kepler-196 c,Kepler-196,1,3,Transit,2014,Kepler,47.427737,0.24,2.24,5.65,0.0178,0,407,,5128,0.782,0.839,3.09,451.312,14.239,14.1033
Kepler-263 c,Kepler-263,1,2,Transit,2014,Kepler,47.332773,0.242,2.47,6.66,0.021,0,386,,5265,0.785,0.793,2.24,754.747,15.435,15.4167
Kepler-401 c,Kepler-401,1,3,Transit,2014,Kepler,47.318218,0.269,2.15,5.27,0.0166,0,598,,6117,1.333,1.173,3.55,965.56,13.366,13.2865
Kepler-153 c,Kepler-153,1,2,Transit,2014,Kepler,46.90232,0.237,2.53,6.94,0.0218,0,458,,5404,0.892,0.756,13.8,459.368,14.388,14.2493
Kepler-26 e,Kepler-26,1,4,Transit,2014,Kepler,46.827915,0.22,2.41,6.39,0.0201,0,276,M0 V,4486,0.571,0.62,2.95,335.307,15.853,15.4089
Kepler-235 e,Kepler-235,1,4,Transit,2014,Kepler,46.183669,0.213,2.22,5.56,0.0175,0,306,M0 V,4255,0.554,0.581,6,428.018,16.567,15.9695
Kepler-220 e,Kepler-220,1,4,Transit,2014,Kepler,45.902733,0.226,1.33,2.33,0.00733,0,341,,4632,0.666,0.729,6,171.109,13.049,12.8566
Kepler-384 c,Kepler-384,1,2,Transit,2014,Kepler,45.348269,0.236,1.13,1.51,0.00474,0,531,,5577,0.882,0.882,12.88,895.678,13.734,13.5538
Kepler-287 c,Kepler-287,1,2,Transit,2014,Kepler,44.851896,0.246,3.26,66,0.20765922,0,513,K7 V,5806,1.032,0.963,2.88,835.86,14.952,14.7442
Kepler-306 e,Kepler-306,1,4,Transit,2014,Kepler,44.840975,0.227,2.27,5.77,0.0182,0,390,,4954,0.719,0.75,2.63,775.679,15.575,15.5524
Kepler-218 c,Kepler-218,1,3,Transit,2014,Kepler,44.699576,0.248,3.14,10,0.0315,0,500,,5502,1.063,1.019,3.02,656.38,14.035,13.9069
Kepler-84 f,Kepler-84,1,5,Transit,2014,Kepler,44.552169,0.25,2.2,5.48,0.0172,0,572,,6031,1.169,1.06,3.98,1023.9,14.92,14.7902
Kepler-338 d,Kepler-338,1,4,Transit,2014,Kepler,44.431014,0.257,3,9.27,0.0292,0.03,680,,5923,1.735,1.105,6.46,552.798,12.19,12.0828
Kepler-174 c,Kepler-174,1,3,Transit,2014,Kepler,44.000529,0.214,1.49,2.83,0.00889,0,377,,4880,0.622,0.602,4.9,384.757,14.53,14.2858
Kepler-106 e,Kepler-106,1,4,Transit,2014,Kepler,43.8445,0.24006,2.56,11.17,0.035,0,531,,5858,1.04,1,4.83,444.322,12.923,12.8391
Kepler-159 c,Kepler-159,1,2,Transit,2014,Kepler,43.595792,0.218,3.41,11.5,0.0363,0,275,M0 V,4625,0.663,0.628,2.51,373.744,15.386,14.8882
Kepler-265 d,Kepler-265,1,4,Transit,2014,Kepler,43.130617,0.236,2.49,6.76,0.0213,0,554,,5835,1.103,0.97,0.28,1280.25,15.47,15.3522
Kepler-48 d,Kepler-48,1,5,Transit,2014,Kepler,42.8961,0.23302,2.04,7.93,0.025,0,448,,5194,0.89,0.88,3.14,306.738,13.174,13.0772
Kepler-341 e,Kepler-341,1,4,Transit,2014,Kepler,42.473269,0.242,1.99,4.62,0.0145,0,539,,6012,1.024,0.976,9.12,1047.03,14.739,14.5672
Kepler-180 c,Kepler-180,1,2,Transit,2014,Kepler,41.885775,0.229,3.01,9.32,0.0293,0,540,,5731,1.063,0.95,9.7,695.65,14.488,14.325
Kepler-142 d,Kepler-142,1,3,Transit,2014,Kepler,41.809118,0.242,2.16,5.31,0.0167,0,582,,5790,1.269,0.978,7.59,548.686,13.277,13.197
Kepler-209 c,Kepler-209,1,2,Transit,2014,Kepler,41.749882,0.231,3.1,9.8,0.0308,0,486,,5513,0.935,0.971,1.95,576.946,14.132,13.9517
Kepler-229 d,Kepler-229,1,3,Transit,2014,Kepler,41.194912,0.22,3.85,14.2,0.0445,0,439,,5120,0.728,0.808,2.04,826.265,16.22,15.8265
Kepler-121 c,Kepler-121,1,2,Transit,2014,Kepler,41.008011,0.216,2.27,5.77,0.0182,0,425,,5311,0.701,0.859,0.5,510.523,14.904,14.677
Kepler-264 b,Kepler-264,1,2,Transit,2014,Kepler,40.806231,0.249,3.33,11.1,0.0348,0,772,,6158,1.55,1.426,2.45,942.173,13.15,13.0135
Kepler-300 c,Kepler-300,1,2,Transit,2014,Kepler,40.714955,0.232,2.25,5.69,0.0179,0,516,,5986,0.9,1.07,3.63,1098.45,14.25,14.1797
Kepler-58 d,Kepler-58,1,4,Transit,2014,Kepler,40.101371,0.236,2.94,245.343,0.7719354,0,583,,6099,1.127,1.024,2.14,969.252,15.086,14.8663
Kepler-171 d,Kepler-171,1,3,Transit,2014,Kepler,39.595519,0.223,1.89,4.23,0.0133,0,497,,5642,0.839,0.978,2.4,863.855,15.101,14.9053
Kepler-342 d,Kepler-342,1,4,Transit,2014,Kepler,39.459357,0.242,2.49,6.76,0.0213,0,658,,6175,1.472,1.213,2.82,781.611,13.2,13.0992
Kepler-297 b,Kepler-297,1,3,Transit,2014,Kepler,38.871826,0.217,2.87,48.5,0.153,0,509,,5619,0.915,0.927,1.9,692.14,14.326,14.1922
Kepler-325 d,Kepler-325,1,3,Transit,2014,Kepler,38.715185,0.22,2.79,8.2,0.0258,0,498,,5752,1.003,0.914,0.93,823.242,15.175,15.0053
Kepler-299 e,Kepler-299,1,4,Transit,2014,Kepler,38.285489,0.22,1.87,4.16,0.0131,0,534,,5617,1.032,1.004,3.24,1052.24,15.232,15.0103
GJ 687 b,GJ 687,1,2,Radial Velocity,2014,Lick Observatory,38.142,0.163,4.32,17.2,0.05411698,0.17,,M3 V,3413,0.4183,0.4,,4.54939,9.15,8.02754
Kepler-122 e,Kepler-122,1,5,Transit,2014,Kepler,37.993273,0.227,2.6,27.7,0.087,0,618,,6050,1.216,0.982,7.94,1027.45,14.403,14.2223
Kepler-362 c,Kepler-362,1,2,Transit,2014,Kepler,37.866281,0.207,1.45,2.7,0.00849,0,543,,5788,0.722,0.904,12.88,1090.51,14.608,14.4863
Kepler-367 b,Kepler-367,1,2,Transit,2014,Kepler,37.815724,0.201,1.3,2.24,0.00705,0,401,,4710,0.695,0.768,2.29,188.027,13.193,12.8482
Kepler-284 c,Kepler-284,1,2,Transit,2014,Kepler,37.514456,0.213,2.61,7.32,0.023,0,478,,5615,0.814,0.766,0.5,1031.95,15.944,15.8126
Kepler-351 b,Kepler-351,1,3,Transit,2014,Kepler,37.054919,0.214,3.06,4.8,0.015,0,498,,5643,0.854,0.81,2.9,1083.91,16.229,15.9665
Kepler-259 c,Kepler-259,1,2,Transit,2014,Kepler,36.924931,0.217,2.7,7.75,0.0244,0,530,,5938,0.898,0.867,0.4,1002.14,15.378,15.1689
Kepler-290 c,Kepler-290,1,3,Transit,2014,Kepler,36.77031,0.205,2.7,7.75,0.0244,0,437,,5147,0.743,0.756,1.1,694.627,15.775,15.5648
Kepler-52 d,Kepler-52,1,3,Transit,2014,Kepler,36.445171,0.182,1.95,88.8775,0.27963989,0,332,M0 V,4263,0.556,0.577,3.55,321.542,15.513,15.0589
Kepler-281 c,Kepler-281,1,3,Transit,2014,Kepler,36.337373,0.215,5.31,161.124,0.5069528,0,513,,5723,0.899,0.95,0.6,1745.45,15.931,15.7537
Kepler-245 d,Kepler-245,1,4,Transit,2014,Kepler,36.277108,0.202,3.03,21.6,0.068,0,445,,5100,0.795,0.856,3.63,861.527,15.546,15.5969
Kepler-241 c,Kepler-241,1,2,Transit,2014,Kepler,36.065978,0.189,2.57,7.13,0.0224,0,397,,4699,0.668,0.671,13.9,512,15.708,15.3871
Kepler-275 d,Kepler-275,1,3,Transit,2014,Kepler,35.676062,0.224,3.33,11.1,0.0348,0,671,,6165,1.383,1.189,3.39,2034.25,15.289,15.2874
Kepler-100 d,Kepler-100,1,4,Transit,2014,Kepler,35.3331,0.21747,1.61,3,0.00943901,0.38,670,,5825,1.49,1.08,6.46,304.645,11.055,11.1293
Kepler-172 e,Kepler-172,1,4,Transit,2014,Kepler,35.118736,0.211,2.76,8.05,0.0253,0,550,,5526,1.085,1.081,2.69,828.592,14.703,14.5369
Kepler-395 c,Kepler-395,1,2,Transit,2014,Kepler,34.989262,0.177,1.32,2.3,0.00724,0,341,,4262,0.556,0.622827,1.6,421.382,16.5919,15.9585
Kepler-371 b,Kepler-371,1,2,Transit,2014,Kepler,34.763278,0.2,1.89,4.23,0.0133,0,554,,5666,0.992,0.876,12.88,813.192,13.997,13.7984
Kepler-289 b,Kepler-289,1,4,Transit,2014,Kepler,34.5383,0.21183,2.49,3.7,0.0116415,0,607,,5990,1,1.08,0.65,704.438,14.142,13.9628
Kepler-166 c,Kepler-166,1,3,Transit,2014,Kepler,34.260281,0.195,2.38,6.26,0.0197,0,468,,5413,0.742,0.811,5.01,603.53,14.857,14.6848
Kepler-332 d,Kepler-332,1,3,Transit,2014,Kepler,34.21154,0.189,1.18,1.76,0.00553,0,427,,4955,0.72,0.743,2.82,344.19,14.243,14.0025
Kepler-296 e,Kepler-296,2,5,Transit,2014,Kepler,34.14211,0.169,1.53,2.96,0.0093,0.33,337,M2 V,3740,0.48,0.498,4.2,167,16.363,15.9015
Kepler-195 c,Kepler-195,1,2,Transit,2014,Kepler,34.096863,0.197,1.55,3.02,0.00951,0,469,,5329,0.775,0.867,2.19,652.051,14.863,14.7989
Kepler-358 b,Kepler-358,1,2,Transit,2014,Kepler,34.060467,0.21,2.72,7.85,0.0247,0,554,,5908,0.954,0.94,0.4,1101.1,15.516,15.3559
Kepler-175 c,Kepler-175,1,2,Transit,2014,Kepler,34.035257,0.213,3.1,9.8,0.0308,0,583,,6064,1.01,0.969,3.39,1312.34,15.225,14.9115
Kepler-295 d,Kepler-295,1,3,Transit,2014,Kepler,33.884054,0.192,1.36,2.42,0.00761,0,533,,5603,0.898,0.89,6.46,1699.19,14.631,14.4325
Kepler-258 c,Kepler-258,1,2,Transit,2014,Kepler,33.653079,0.193,3.61,12.7,0.0399,0,470,,4942,0.915,0.82,13.7,575.988,15.49,15.2012
Kepler-147 c,Kepler-147,1,2,Transit,2014,Kepler,33.416423,0.216,2.43,6.48,0.0204,0,689,,6012,1.468,1.145,5.5,1042.02,14.134,13.9151
Kepler-274 c,Kepler-274,1,2,Transit,2014,Kepler,33.197861,0.204,1.84,4.04,0.0127,0,678,,6023,1.007,0.883,12.88,1333.62,15.238,15.0319
Kepler-154 b,Kepler-154,1,5,Transit,2014,Kepler,33.040532,0.198,2.26,5.73,0.018,0,561,,5690,1.001,0.933,8.91,915.212,14.646,14.5121
Kepler-230 b,Kepler-230,1,2,Transit,2014,Kepler,32.625555,0.191,4.26,16.8,0.0529,0,506,,5588,0.817,0.784,1.8,740.754,15.264,15.073
Kepler-313 c,Kepler-313,1,2,Transit,2014,Kepler,32.273273,0.208,2.57,7.13,0.0224,0,683,,5727,1.536,1.114,7.08,1079.395249,14.304,14.1106
Kepler-331 d,Kepler-331,1,3,Transit,2014,Kepler,32.134328,0.159,1.64,3.33,0.0105,0,346,,4347,0.492,0.653,1.2,580.119,16.199,15.8359
Kepler-212 c,Kepler-212,1,2,Transit,2014,Kepler,31.805174,0.207,2.74,7.95,0.025,0,664,,5852,1.455,1.166,5.13,687.194,13.129,12.9872
Kepler-319 d,Kepler-319,1,3,Transit,2014,Kepler,31.781925,0.191,2.29,5.86,0.0184,0,528,,5526,0.903,0.933,1.07,503.436,13.926,13.7908
Kepler-110 c,Kepler-110,1,2,Transit,2014,Kepler,31.719775,0.198,2.21,5.52,0.0174,0,743,,5960,1.149,0.989,4.47,586.531,13.003,12.902
Kepler-133 c,Kepler-133,1,2,Transit,2014,Kepler,31.517586,0.204,2.84,8.45,0.0266,0,663,,5736,1.425,1.02,6.03,653.6,12.896,12.8415
Kepler-383 c,Kepler-383,1,2,Transit,2014,Kepler,31.200751,0.172,1.24,2.07,0.00651,0,406,,4710,0.672,0.669,13.9,470,15.473,15.0655
Kepler-146 b,Kepler-146,1,2,Transit,2014,Kepler,31.158799,0.2,3.71,13.3,0.0418,0,639,,5948,1.208,1.079,0.91,716.797,13.921,13.8031
Kepler-124 d,Kepler-124,1,3,Transit,2014,Kepler,30.950851,0.17,1.11,1.41,0.00444,0,428,,4984,0.636,0.706,1.82,420.046,14.4,14.124
Kepler-215 d,Kepler-215,1,4,Transit,2014,Kepler,30.864423,0.185,2.39,23.6,0.074,0,527,,5739,1.027,0.788,1.62,485.997,13.678,13.5549
Kepler-150 e,Kepler-150,1,5,Transit,2014,Kepler,30.826557,0.189,3.12,9.91,0.0312,0,544,,5560,0.939,0.956,1.74,891.092,15.161,14.9743
Kepler-302 b,Kepler-302,1,2,Transit,2014,Kepler,30.184104,0.193,4.06,15.5,0.0488,0,634,,5740,1.22,1.021,4.47,1402.58,15.694,15.4911
Kepler-278 b,Kepler-278,1,2,Transit,2014,Kepler,30.160546,0.207,4.07,15.6,0.049,0.04,836,,4991,2.935,1.414,3.72,443.03,11.811,11.5296
Kepler-251 d,Kepler-251,1,4,Transit,2014,Kepler,30.133001,0.182,2.77,8.1,0.0255,0,536,,5526,0.89,0.891,2,924.625,15.541,15.216
Kepler-372 d,Kepler-372,1,3,Transit,2014,Kepler,30.092568,0.201,1.69,3.5,0.011,0,660,,6509,1.137,1.037,5.62,1493.95,14.928,14.8342
Kepler-405 c,Kepler-405,1,2,Transit,2014,Kepler,29.726682,0.188,4.66,19.6,0.0616,0,557,,5818,0.893,0.873,2.09,1065.08,16.181,15.8023
Kepler-127 c,Kepler-127,1,3,Transit,2014,Kepler,29.393195,0.2,2.66,7.56,0.0238,0.03,698,,6106,1.359,1.248,2.69,352.794,11.746,11.4381
Kepler-286 e,Kepler-286,1,4,Transit,2014,Kepler,29.221289,0.176,1.77,3.78,0.0119,0,539,,5580,0.863,0.83,2.75,1226.85,15.863,15.5447
Kepler-149 b,Kepler-149,1,3,Transit,2014,Kepler,29.198943,0.184,4.21,16.5,0.0519,0,540,,5381,0.953,1.013,14,571.034,14.152,14.0194
Kepler-184 d,Kepler-184,1,3,Transit,2014,Kepler,29.022358,0.179,2.49,6.76,0.0213,0,559,,5788,0.873,0.872,2.95,610.326,14.42,14.3115
Kepler-164 d,Kepler-164,1,4,Transit,2014,Kepler,28.986769,0.187,2.45,6.57,0.0207,0,637,,5888,1.148,1.036,0.62,890.758,14.379,14.2329
Kepler-378 c,Kepler-378,1,2,Transit,2014,Kepler,28.906009,0.166,0.7,0.271,0.000852,0,414,,4661,0.671,0.78,3.24,152.094,12.619,12.4551
Kepler-214 c,Kepler-214,1,2,Transit,2014,Kepler,28.7798,0.194,2.13,5.18,0.0163,0,619,,6169,1.352,1.11,1.58,1208.44,14.057,13.9058
Kepler-112 c,Kepler-112,1,2,Transit,2014,Kepler,28.574263,0.172,2.4,6.35,0.02,0,538,,5544,0.841,0.782,12.88,513.206,13.927,13.7662
Kepler-158 c,Kepler-158,1,3,Transit,2014,Kepler,28.551383,0.158,1.9,4.27,0.0134,0,418,K,4623,0.624,0.655,13.9,315.177,14.743,14.4165
Kepler-267 d,Kepler-267,1,3,Transit,2014,Kepler,28.464515,0.154,2.27,5.77,0.0182,0,301,M1 V,4258,0.555,0.541571,3.31,264.993,16.69,15.4693
Kepler-220 d,Kepler-220,1,4,Transit,2014,Kepler,28.122397,0.163,0.98,0.904,0.00284,0,401,,4632,0.666,0.729,6,171.109,13.049,12.8566
Kepler-222 d,Kepler-222,1,3,Transit,2014,Kepler,28.081912,0.18,3.69,13.2,0.0415,0,522,,5433,0.869,0.933,1.17,758.854,15.407,15.0603
Kepler-341 d,Kepler-341,1,4,Transit,2014,Kepler,27.666313,0.182,1.85,4.08,0.0128,0,622,,6012,1.024,0.976,9.12,1047.03,14.739,14.5672
Kepler-130 c,Kepler-130,2,3,Transit,2014,Kepler,27.50868,0.178,2.9,8.75,0.0275,0,683,,5879,1.17,1,5.89,316.663,11.572,11.8253
Kepler-102 f,Kepler-102,1,5,Transit,2014,Kepler,27.453592,0.1656,0.861,4.3,0.01352931,0.1,495,,4909,0.724,0.803,1.1,107.796,12.072,11.4784
Kepler-84 e,Kepler-84,1,5,Transit,2014,Kepler,27.434389,0.181,2.6,7.27,0.0229,0,672,,6031,1.169,1.06,3.98,1023.9,14.92,14.7902
Kepler-347 c,Kepler-347,1,3,Transit,2014,Kepler,27.320871,0.183,1.75,3.71,0.0117,0,705,,6088,1.005,0.922,11.75,1298.88,14.567,14.4892
Kepler-143 c,Kepler-143,1,2,Transit,2014,Kepler,27.082511,0.181,3.37,11.3,0.0355,0,703,,5848,1.359,0.982,9.33,809.467,13.882,13.7057
Kepler-377 c,Kepler-377,1,2,Transit,2014,Kepler,27.014976,0.182,2.06,4.9,0.0154,0,677,,5949,1.224,1.043,5.5,823.804,14.081,13.8315
Kepler-368 b,Kepler-368,1,2,Transit,2014,Kepler,26.84768,0.186,3.26,10.7,0.0336,0,800,,5502,2.019,1.165,6.46,770.978,12.946,12.838
Kepler-123 c,Kepler-123,1,2,Transit,2014,Kepler,26.695074,0.181,1.48,2.79,0.00879,0,706,,6089,1.264,1.079,5.01,1021.66,14.129,14.0212
Kepler-399 c,Kepler-399,1,3,Transit,2014,Kepler,26.67569,0.155,1.43,2.63,0.00829,0,630,,5502,0.68,0.902,3.98,740.537,14.686,14.5277
Kepler-342 c,Kepler-342,1,4,Transit,2014,Kepler,26.234138,0.185,1.96,4.5,0.0142,0,754,,6175,1.472,1.213,2.82,781.611,13.2,13.0992
Kepler-268 b,Kepler-268,1,2,Transit,2014,Kepler,25.934138,0.18,2.55,7.04,0.0221,0,695,,6081,1.274,1.109,1.71,851.87,13.844,13.6678
Kepler-355 c,Kepler-355,1,2,Transit,2014,Kepler,25.762294,0.179,2.71,7.8,0.0245,0,633,,6184,1.066,0.933,10,1432.17,15.242,15.0663
Kepler-176 d,Kepler-176,1,4,Transit,2014,Kepler,25.751974,0.163,2.51,1.72,0.00541173,0,501,,5232,0.891,0.86,2.45,527.321,14.767,14.5446
Kepler-364 b,Kepler-364,1,2,Transit,2014,Kepler,25.745718,0.178,1.55,3.02,0.00951,0,753,,6108,1.284,1.076,0.63,891.462,13.754,13.6134
Kepler-201 b,Kepler-201,1,2,Transit,2014,Kepler,25.672083,0.175,2.46,6.62,0.0208,0,683,,6065,1.229,1.098,4.07,636.445,12.991,12.9199
Kepler-204 c,Kepler-204,1,2,Transit,2014,Kepler,25.660593,0.173,1.79,3.86,0.0121,0,683,,5812,1.238,1.038,1.41,686.723,13.977,13.8745
Kepler-359 b,Kepler-359,1,3,Transit,2014,Kepler,25.563222,0.178,3.53,12.2,0.0384,0,671,,6248,1.086,0.827,3.02,1443.21,15.805,15.8814
Kepler-131 c,Kepler-131,1,2,Transit,2014,Kepler,25.5169,0.17391,0.84,8.25,0.026,0,615,,5685,1.03,1.02,3.66,228.678,11.493,11.4904
Kepler-270 c,Kepler-270,1,2,Transit,2014,Kepler,25.262887,0.18,1.77,3.78,0.0119,0,756,,6067,1.461,1.17,2.73,948.781,13.9,13.8586
Kepler-85 e,Kepler-85,1,4,Transit,2014,Kepler,25.216751,0.163,1.27,0.6,0.0018878,0,559,,5436,0.893,0.947,1.38,765.025,14.89,14.766
Kepler-197 e,Kepler-197,2,4,Transit,2014,Kepler,25.209715,0.164,0.91,0.693,0.00218,0.38,691,,6004,1.12,0.857,5.37,330.575,11.775,11.78
